time [s],applied force,friction force,pos,vel
0.000000,0.00,0.00,-0.000000,-0.000000
0.001000,5.00,-0.00,-0.000000,0.000000
0.002000,10.00,0.00,0.000000,0.000000
0.003000,15.00,0.00,-0.000000,-0.000000
0.004000,20.00,-0.00,-0.000000,0.000000
0.005000,25.00,-0.00,0.000000,0.000000
0.006000,30.00,0.00,-0.000000,-0.000000
0.007000,35.00,-0.00,-0.000000,-0.000000
0.008000,40.00,0.00,-0.000000,0.000000
0.009000,45.00,0.00,-0.000000,0.000000
0.010000,50.00,-0.00,-0.000000,-0.000000
0.011000,55.00,-0.00,-0.000000,-0.000000
0.012000,60.00,-0.00,-0.000000,-0.000000
0.013000,65.00,0.00,-0.000000,0.000000
0.014000,70.00,-0.00,0.000000,0.000000
0.015000,75.00,-0.00,-0.000000,-0.000000
0.016000,80.00,0.00,-0.000000,-0.000000
0.017000,85.00,-0.00,-0.000000,-0.000000
0.018000,90.00,0.00,-0.000000,0.000000
0.019000,95.00,-0.00,-0.000000,-0.000000
0.020000,100.00,-0.00,-0.000000,-0.000000
0.021000,105.00,-0.00,-0.000000,0.000000
0.022000,110.00,0.00,-0.000000,0.000000
0.023000,115.00,0.00,0.000000,0.000000
0.024000,120.00,-0.00,-0.000000,-0.000000
0.025000,125.00,0.00,-0.000000,-0.000000
0.026000,130.00,0.00,-0.000000,0.000000
0.027000,135.00,-0.00,-0.000000,0.000000
0.028000,140.00,-0.00,0.000000,0.000000
0.029000,145.00,-0.00,-0.000000,-0.000000
0.030000,150.00,0.00,-0.000000,-0.000000
0.031000,155.00,-0.00,-0.000000,-0.000000
0.032000,160.00,-0.00,-0.000000,0.000000
0.033000,165.00,0.00,0.000000,0.000000
0.034000,170.00,-0.00,-0.000000,-0.000000
0.035000,175.00,0.00,-0.000000,-0.000000
0.036000,180.00,0.00,-0.000000,-0.000000
0.037000,185.00,-0.00,-0.000000,0.000000
0.038000,190.00,0.00,-0.000000,0.000000
0.039000,195.00,-0.00,0.000000,0.000000
0.040000,200.00,0.00,-0.000000,-0.000000
0.041000,205.00,0.00,-0.000000,0.000000
0.042000,210.00,-0.00,0.000000,0.000000
0.043000,215.00,0.00,-0.000000,-0.000000
0.044000,220.00,-0.00,-0.000000,-0.000000
0.045000,225.00,0.00,-0.000000,-0.000000
0.046000,230.00,-30.00,-0.000000,0.000000
0.047000,235.00,-220.00,0.000807,0.028983
0.048000,240.00,-220.00,0.005650,0.091472
0.049000,245.00,-220.00,0.006023,0.094605
0.050000,250.00,-220.00,0.006410,0.097739
0.051000,255.00,-220.00,0.006607,0.099305
0.052000,260.00,-220.00,0.006707,0.100089
0.053000,265.00,-220.00,0.006808,0.100872
0.054000,270.00,-220.00,0.007012,0.102439
0.055000,275.00,-220.00,0.007220,0.104006
0.056000,280.00,-220.00,0.007324,0.104789
0.057000,285.00,-220.00,0.007430,0.105572
0.058000,290.00,-220.00,0.007536,0.106356
0.059000,295.00,-220.00,0.007643,0.107139
0.060000,300.00,-220.00,0.007751,0.107922
0.061000,305.00,-220.00,0.007860,0.108706
0.062000,310.00,-220.00,0.007970,0.109489
0.063000,315.00,-220.00,0.008080,0.110272
0.064000,320.00,-220.00,0.008191,0.111056
0.065000,325.00,0.00,0.008303,0.111839
0.066000,330.00,-220.00,0.008415,0.112622
0.067000,335.00,-220.00,0.008758,0.114972
0.068000,340.00,-220.00,0.008874,0.115756
0.069000,345.00,-220.00,0.008990,0.116539
0.070000,350.00,-220.00,0.009108,0.117322
0.071000,355.00,-220.00,0.009226,0.118106
0.072000,360.00,-220.00,0.009345,0.118889
0.073000,365.00,-220.00,0.009464,0.119672
0.074000,370.00,-220.00,0.009828,0.122022
0.075000,375.00,-220.00,0.009951,0.122806
0.076000,380.00,-220.00,0.010074,0.123589
0.077000,385.00,-220.00,0.010199,0.124372
0.078000,390.00,-220.00,0.010577,0.126722
0.079000,395.00,-220.00,0.010704,0.127506
0.080000,400.00,-220.00,0.010832,0.128289
0.081000,405.00,-220.00,0.011091,0.129856
0.082000,410.00,-220.00,0.011222,0.130639
0.083000,415.00,-220.00,0.011353,0.131422
0.084000,420.00,-220.00,0.011486,0.132206
0.085000,425.00,-220.00,0.011619,0.132989
0.086000,430.00,-220.00,0.011752,0.133772
0.087000,435.00,-220.00,0.011887,0.134556
0.088000,440.00,-220.00,0.012022,0.135339
0.089000,445.00,-220.00,0.012158,0.136122
0.090000,450.00,-220.00,0.012295,0.136906
0.091000,455.00,-220.00,0.012433,0.137689
0.092000,460.00,-220.00,0.012851,0.140039
0.093000,465.00,-220.00,0.013275,0.142389
0.094000,470.00,-220.00,0.013419,0.143172
0.095000,475.00,-220.00,0.013707,0.144739
0.096000,480.00,-220.00,0.013853,0.145522
0.097000,485.00,-220.00,0.014146,0.147089
0.098000,490.00,-220.00,0.014742,0.150222
0.099000,495.00,-220.00,0.015505,0.154139
0.100000,500.00,-220.00,0.015660,0.154922
0.101000,505.00,-220.00,0.015816,0.155706
0.102000,510.00,-220.00,0.015972,0.156489
0.103000,515.00,-220.00,0.016130,0.157272
0.104000,520.00,-220.00,0.016447,0.158839
0.105000,525.00,-220.00,0.016606,0.159622
0.106000,530.00,-220.00,0.016767,0.160406
0.107000,535.00,-220.00,0.017090,0.161972
0.108000,540.00,-220.00,0.017580,0.164322
0.109000,545.00,-220.00,0.018078,0.166672
0.110000,550.00,-235.00,0.018583,0.169022
0.111000,555.00,-235.00,0.018753,0.169806
0.112000,560.00,-245.00,0.019267,0.172156
0.113000,565.00,-255.00,0.019440,0.172939
0.114000,570.00,-260.00,0.019788,0.174506
0.115000,575.00,-265.00,0.019963,0.175289
0.116000,580.00,-295.00,0.020851,0.179206
0.117000,585.00,-310.00,0.021576,0.182339
0.118000,590.00,-320.00,0.021759,0.183122
0.119000,595.00,-330.00,0.022500,0.186380
0.120000,600.00,-340.00,0.023254,0.189781
0.121000,605.00,-350.00,0.024022,0.193341
0.122000,610.00,-360.00,0.025002,0.198059
0.123000,615.00,-370.00,0.025401,0.200071
0.124000,620.00,-380.00,0.025603,0.201121
0.125000,625.00,-400.00,0.026624,0.206498
0.126000,630.00,-425.00,0.028752,0.218088
0.127000,635.00,-425.00,0.028972,0.219298
0.128000,640.00,-455.00,0.030541,0.228057
0.129000,645.00,-460.00,0.031001,0.230639
0.130000,650.00,-495.00,0.031937,0.235962
0.131000,655.00,-495.00,0.033137,0.242834
0.132000,660.00,-510.00,0.034123,0.248549
0.133000,665.00,-525.00,0.034624,0.251504
0.134000,670.00,-1050.00,0.035904,0.259035
0.135000,675.00,-525.00,0.036956,0.265266
0.136000,680.00,-525.00,0.037223,0.266868
0.137000,685.00,-540.00,0.038033,0.271746
0.138000,690.00,-555.00,0.039417,0.280149
0.139000,695.00,-555.00,0.041427,0.292469
0.140000,700.00,-560.00,0.041721,0.294285
0.141000,705.00,-575.00,0.043526,0.305394
0.142000,710.00,-580.00,0.045397,0.316610
0.143000,715.00,-580.00,0.046036,0.320384
0.144000,720.00,-585.00,0.048668,0.335802
0.145000,725.00,-585.00,0.049006,0.337778
0.146000,730.00,-590.00,0.049687,0.341730
0.147000,735.00,-595.00,0.051074,0.349670
0.148000,740.00,-600.00,0.052135,0.355759
0.149000,745.00,-600.00,0.053215,0.361883
0.150000,750.00,-600.00,0.053579,0.363931
0.151000,755.00,-605.00,0.053945,0.365978
0.152000,760.00,-605.00,0.055806,0.376286
0.153000,765.00,-615.00,0.056184,0.378369
0.154000,770.00,-615.00,0.056564,0.380452
0.155000,775.00,-615.00,0.057332,0.384618
0.156000,780.00,-615.00,0.058498,0.390867
0.157000,785.00,-615.00,0.058891,0.392967
0.158000,790.00,-615.00,0.059286,0.395068
0.159000,795.00,-620.00,0.060484,0.401388
0.160000,800.00,-620.00,0.061701,0.407780
0.161000,805.00,-620.00,0.062937,0.414206
0.162000,810.00,-620.00,0.063353,0.416361
0.163000,815.00,-640.00,0.067637,0.438223
0.164000,820.00,-640.00,0.068965,0.444792
0.165000,825.00,-640.00,0.071680,0.458020
0.166000,830.00,-640.00,0.072602,0.462435
0.167000,835.00,-655.00,0.073067,0.464643
0.168000,840.00,-660.00,0.074948,0.473544
0.169000,845.00,-660.00,0.076382,0.480381
0.170000,850.00,-665.00,0.080307,0.498611
0.171000,855.00,-680.00,0.084380,0.517251
0.172000,860.00,-680.00,0.084899,0.519601
0.173000,865.00,-680.00,0.085946,0.524301
0.174000,870.00,-680.00,0.086472,0.526651
0.175000,875.00,-680.00,0.088066,0.533754
0.176000,880.00,-685.00,0.088602,0.536122
0.177000,885.00,-685.00,0.089682,0.540858
0.178000,890.00,-685.00,0.091319,0.548068
0.179000,895.00,-695.00,0.092422,0.552910
0.180000,900.00,-700.00,0.093535,0.557753
0.181000,905.00,-700.00,0.095223,0.565016
0.182000,910.00,-700.00,0.095790,0.567455
0.183000,915.00,-700.00,0.096360,0.569895
0.184000,920.00,-700.00,0.096933,0.572334
