phase,t,pos,vel,effort_js,wrench_fx,cmd_v
exp,0.0105,-1.421601,-0.000001,0.000,-0.000017,0.0005
exp,0.0233,-1.421601,-0.000001,0.000,-0.000017,0.0012
exp,0.0277,-1.421601,-0.000001,0.000,-0.000017,0.0014
exp,0.0379,-1.421590,0.001159,0.000,0.023180,0.0019
exp,0.0486,-1.421584,0.001383,0.000,0.023180,0.0024
exp,0.0574,-1.421573,0.001383,0.000,0.027661,0.0029
exp,0.0713,-1.421535,0.002859,0.000,0.048499,0.0036
exp,0.0785,-1.421535,0.002859,0.000,0.048499,0.0039
exp,0.0946,-1.421495,0.003553,0.000,0.071070,0.0047
exp,0.0970,-1.421464,0.003911,0.000,0.078239,0.0049
exp,0.1084,-1.421409,0.004838,0.000,0.078239,0.0054
exp,0.1187,-1.421390,0.004838,0.000,0.096775,0.0059
exp,0.1287,-1.421325,0.005918,0.000,0.096775,0.0064
exp,0.1439,-1.421302,0.005918,0.000,0.118376,0.0072
exp,0.1470,-1.421252,0.006417,0.000,0.118376,0.0074
exp,0.1569,-1.421224,0.007173,0.000,0.143472,0.0078
exp,0.1675,-1.421165,0.007331,0.000,0.146625,0.0084
exp,0.1773,-1.421104,0.007825,0.000,0.146625,0.0089
exp,0.1934,-1.421071,0.008353,0.000,0.167066,0.0097
exp,0.1995,-1.421038,0.008353,0.000,0.167066,0.0100
exp,0.2148,-1.420928,0.009646,0.000,0.176837,0.0107
exp,0.2184,-1.420888,0.009946,0.000,0.192934,0.0109
exp,0.2287,-1.420806,0.010709,0.000,0.198932,0.0114
exp,0.2409,-1.420762,0.010892,0.000,0.214188,0.0120
exp,0.2488,-1.420719,0.010892,0.000,0.217844,0.0124
exp,0.2623,-1.420625,0.012011,0.000,0.228103,0.0131
exp,0.2691,-1.420526,0.012410,0.000,0.248201,0.0135
exp,0.2777,-1.420473,0.013081,0.000,0.248201,0.0139
exp,0.2880,-1.420473,0.013081,0.000,0.248200,0.0144
exp,0.2977,-1.420309,0.014361,0.000,0.268353,0.0149
exp,0.3103,-1.420194,0.014361,0.000,0.287228,0.0155
exp,0.3179,-1.420075,0.014844,0.000,0.287228,0.0159
exp,0.3346,-1.419951,0.015474,0.000,0.309495,0.0167
exp,0.3372,-1.419951,0.015474,0.000,0.309495,0.0169
exp,0.3480,-1.419824,0.015851,0.000,0.317036,0.0174
exp,0.3590,-1.419690,0.016814,0.000,0.336296,0.0180
exp,0.3682,-1.419484,0.017354,0.000,0.347082,0.0184
exp,0.3848,-1.419268,0.018362,0.000,0.358083,0.0192
exp,0.3881,-1.419194,0.018362,0.000,0.367251,0.0194
exp,0.3989,-1.419117,0.019189,0.000,0.367251,0.0199
exp,0.4072,-1.419117,0.019189,0.000,0.367251,0.0204
exp,0.4200,-1.418963,0.019356,0.000,0.387130,0.0210
exp,0.4309,-1.418881,0.020308,0.000,0.387130,0.0215
exp,0.4384,-1.418800,0.020308,0.000,0.406174,0.0219
exp,0.4550,-1.418630,0.021491,0.000,0.418935,0.0227
exp,0.4599,-1.418630,0.021491,0.000,0.429835,0.0230
exp,0.4706,-1.418365,0.022691,0.000,0.437249,0.0235
exp,0.4816,-1.418274,0.022691,0.000,0.453821,0.0241
exp,0.4899,-1.418091,0.022934,0.000,0.458688,0.0245
exp,0.5029,-1.417901,0.024016,0.000,0.469357,0.0251
exp,0.5091,-1.417805,0.024016,0.000,0.480321,0.0255
exp,0.5172,-1.417707,0.024431,0.000,0.488634,0.0259
exp,0.5274,-1.417509,0.025081,0.000,0.488634,0.0264
exp,0.5382,-1.417407,0.025390,0.000,0.507807,0.0269
exp,0.5517,-1.417304,0.025792,0.000,0.515854,0.0276
exp,0.5571,-1.417199,0.026302,0.000,0.536859,0.0279
exp,0.5740,-1.417091,0.026842,0.000,0.555634,0.0287
exp,0.5769,-1.416980,0.027781,0.000,0.555634,0.0288
exp,0.5871,-1.416755,0.028623,0.000,0.555634,0.0294
exp,0.5992,-1.416640,0.028768,0.000,0.575368,0.0300
exp,0.6086,-1.416523,0.029279,0.000,0.597662,0.0304
exp,0.6249,-1.416403,0.029883,0.000,0.597662,0.0312
exp,0.6289,-1.416403,0.029883,0.000,0.597662,0.0314
exp,0.6462,-1.416403,0.029883,0.000,0.597662,0.0323
exp,0.6514,-1.416403,0.029883,0.000,0.597662,0.0326
exp,0.6587,-1.416283,0.029883,0.000,0.627256,0.0329
exp,0.6707,-1.415900,0.032225,0.000,0.644516,0.0335
exp,0.6779,-1.415637,0.032850,0.000,0.657014,0.0339
exp,0.6956,-1.415099,0.033807,0.000,0.676149,0.0348
exp,0.6984,-1.415099,0.033807,0.000,0.676149,0.0349
exp,0.7077,-1.414829,0.033807,0.000,0.676149,0.0354
exp,0.7190,-1.414829,0.033807,0.000,0.676150,0.0360
exp,0.7283,-1.414548,0.035293,0.000,0.696581,0.0364
exp,0.7422,-1.414407,0.035293,0.000,0.705879,0.0371
exp,0.7480,-1.414264,0.035858,0.000,0.705879,0.0374
exp,0.7586,-1.414119,0.036321,0.000,0.726433,0.0379
exp,0.7675,-1.414119,0.036321,0.000,0.726433,0.0384
exp,0.7781,-1.413820,0.037306,0.000,0.746128,0.0389
exp,0.7913,-1.413667,0.038275,0.000,0.765507,0.0396
exp,0.7974,-1.413514,0.038275,0.000,0.765507,0.0399
exp,0.8069,-1.413201,0.039464,0.000,0.789289,0.0403
exp,0.8181,-1.413201,0.039464,0.000,0.795375,0.0409
exp,0.8274,-1.412718,0.040799,0.000,0.815998,0.0414
exp,0.8382,-1.412554,0.040799,0.000,0.815998,0.0419
exp,0.8515,-1.412059,0.041804,0.000,0.825249,0.0426
exp,0.8632,-1.411725,0.041804,0.000,0.836084,0.0432
exp,0.8672,-1.411385,0.042467,0.000,0.836085,0.0434
exp,0.8774,-1.410867,0.043248,0.000,0.864978,0.0439
exp,0.8870,-1.410694,0.043248,0.000,0.864977,0.0444
exp,0.8979,-1.410519,0.043757,0.000,0.875153,0.0449
exp,0.9126,-1.409811,0.044236,0.000,0.884731,0.0456
exp,0.9175,-1.409632,0.044780,0.000,0.884730,0.0459
exp,0.9344,-1.409087,0.045756,0.000,0.910238,0.0467
exp,0.9405,-1.409087,0.045756,0.000,0.915128,0.0470
exp,0.9489,-1.408721,0.045756,0.000,0.915128,0.0474
exp,0.9606,-1.408534,0.046903,0.000,0.915128,0.0480
exp,0.9672,-1.407968,0.047323,0.000,0.946467,0.0484
exp,0.9894,-1.407391,0.048237,0.000,0.958157,0.0495
exp,0.9981,-1.407198,0.048237,0.000,0.964742,0.0499
exp,1.0070,-1.407006,0.048237,0.000,0.964742,0.0504
exp,1.0208,-1.406032,0.049342,0.000,0.986852,0.0510
exp,1.0354,-1.405835,0.049342,0.000,0.986852,0.0518
exp,1.0404,-1.405634,0.050221,0.000,1.004431,0.0520
exp,1.0551,-1.405020,0.051639,0.000,1.018161,0.0528
exp,1.0583,-1.405020,0.051639,0.000,1.018161,0.0529
exp,1.0678,-1.404606,0.051887,0.000,1.037760,0.0534
exp,1.0802,-1.404184,0.052781,0.000,1.052358,0.0540
exp,1.0876,-1.403760,0.053253,0.000,1.055622,0.0544
exp,1.1021,-1.403329,0.053873,0.000,1.077471,0.0551
exp,1.1082,-1.403329,0.053873,0.000,1.077471,0.0554
exp,1.1273,-1.403112,0.054238,0.000,1.084773,0.0564
exp,1.1387,-1.402236,0.055269,0.000,1.105400,0.0569
exp,1.1532,-1.401786,0.056219,0.000,1.124400,0.0577
exp,1.1570,-1.401559,0.056787,0.000,1.124400,0.0579
exp,1.1674,-1.401102,0.057511,0.000,1.135743,0.0584
exp,1.1774,-1.400871,0.057704,0.000,1.150241,0.0589
exp,1.1871,-1.400407,0.058221,0.000,1.154085,0.0594
exp,1.1990,-1.400173,0.058720,0.000,1.164426,0.0600
exp,1.2081,-1.399701,0.059200,0.000,1.174404,0.0604
exp,1.2227,-1.399462,0.059797,0.000,1.184019,0.0611
exp,1.2289,-1.398982,0.060249,0.000,1.195948,0.0614
exp,1.2368,-1.398741,0.060249,0.000,1.204995,0.0618
exp,1.2480,-1.398250,0.061289,0.000,1.204995,0.0624
exp,1.2586,-1.398004,0.061682,0.000,-1.223197,0.0629
exp,1.2701,-1.397506,0.062242,0.000,-1.234409,0.0635
exp,1.2774,-1.397003,0.062770,0.000,1.255415,0.0639
exp,1.2943,-1.396497,0.063344,0.000,1.266901,0.0647
exp,1.2974,-1.396242,0.063708,0.000,1.266901,0.0649
exp,1.3094,-1.395729,0.064551,0.000,1.274165,0.0655
exp,1.3206,-1.395729,0.064551,0.000,1.274164,0.0660
exp,1.3299,-1.395211,0.064706,0.000,1.294137,0.0665
exp,1.3440,-1.394684,0.065859,0.000,1.317189,0.0672
exp,1.3481,-1.394419,0.066326,0.000,1.317189,0.0674
exp,1.3594,-1.393885,0.067232,0.000,1.326523,0.0680
exp,1.3675,-1.393616,0.067232,0.000,1.344656,0.0684
exp,1.3783,-1.392805,0.068202,0.000,1.344656,0.0689
exp,1.3918,-1.392260,0.068202,0.000,1.364055,0.0696
exp,1.3971,-1.391985,0.068737,0.000,1.374747,0.0699
exp,1.4140,-1.391429,0.069410,0.000,1.388220,0.0707
exp,1.4175,-1.391151,0.069678,0.000,1.388220,0.0709
exp,1.4278,-1.390586,0.070692,0.000,1.410345,0.0714
exp,1.4383,-1.390303,0.070692,0.000,1.413862,0.0719
exp,1.4484,-1.389735,0.071206,0.000,1.413861,0.0724
exp,1.4629,-1.389162,0.071732,0.000,1.434644,0.0731
exp,1.4696,-1.389162,0.071732,0.000,1.434643,0.0735
exp,1.4774,-1.388289,0.072960,0.000,1.444659,0.0739
exp,1.4869,-1.388289,0.072960,0.000,1.459204,0.0743
exp,1.4974,-1.387404,0.074154,0.000,1.483083,0.0749
exp,1.5101,-1.387108,0.074154,0.000,1.483083,0.0755
exp,1.5174,-1.386809,0.074681,0.000,1.493629,0.0759
exp,1.5273,-1.386209,0.075312,0.000,1.493629,0.0764
exp,1.5389,-1.386209,0.075312,0.000,1.506252,0.0769
exp,1.5499,-1.385299,0.076171,0.000,1.513502,0.0775
