phase,t,pos,vel,effort_js,wrench_fx,cmd_v
exp,0.0114,-1.422006,-0.000001,0.000,-0.000000,0.0006
exp,0.0239,-1.422004,0.000567,0.000,-0.000000,0.0012
exp,0.0278,-1.422002,0.000567,0.000,0.000000,0.0014
exp,0.0392,-1.422000,0.000567,0.000,-0.000000,0.0020
exp,0.0484,-1.421995,0.001194,0.000,0.000000,0.0024
exp,0.0611,-1.421989,0.001389,0.000,-0.010662,0.0031
exp,0.0728,-1.421966,0.002420,0.000,-0.000000,0.0036
exp,0.0868,-1.421944,0.003056,0.000,-0.000000,0.0043
exp,0.0887,-1.421932,0.003056,0.000,0.000000,0.0044
exp,0.0984,-1.421917,0.003637,0.000,0.000000,0.0049
exp,0.1105,-1.421903,0.003637,0.000,-0.000000,0.0055
exp,0.1241,-1.421846,0.004920,0.000,0.000000,0.0062
exp,0.1337,-1.421824,0.005526,0.000,-0.000000,0.0067
exp,0.1459,-1.421777,0.006202,0.000,0.000000,0.0073
exp,0.1492,-1.421750,0.006683,0.000,0.000000,0.0075
exp,0.1593,-1.421724,0.006683,0.000,-0.000000,0.0080
exp,0.1715,-1.421665,0.007458,0.000,-0.000000,0.0086
exp,0.1832,-1.421567,0.008573,0.000,0.000000,0.0092
exp,0.1952,-1.421532,0.008573,0.000,0.000000,0.0098
exp,0.1990,-1.421498,0.008573,0.000,0.000000,0.0100
exp,0.2090,-1.421462,0.009158,0.000,0.000000,0.0104
exp,0.2235,-1.421383,0.009949,0.000,0.000000,0.0112
exp,0.2340,-1.421343,0.009949,0.000,0.000000,0.0117
exp,0.2450,-1.421301,0.010448,0.000,0.000000,0.0122
exp,0.2566,-1.421213,0.011700,0.000,0.000000,0.0128
exp,0.2702,-1.421166,0.011700,0.000,0.000000,0.0135
exp,0.2821,-1.421068,0.012249,0.000,0.000000,0.0141
exp,0.2937,-1.420857,0.013509,0.000,0.000000,0.0147
exp,0.3052,-1.420801,0.014102,0.000,0.000000,0.0153
exp,0.3105,-1.420742,0.014682,0.000,0.000000,0.0155
exp,0.3194,-1.420683,0.014682,0.000,0.000000,0.0160
exp,0.3308,-1.420560,0.015523,0.000,0.000000,0.0165
exp,0.3424,-1.420432,0.015968,0.000,0.000000,0.0171
exp,0.3542,-1.420366,0.016541,0.000,0.000000,0.0177
exp,0.3588,-1.420300,0.016541,0.000,0.000000,0.0179
exp,0.3686,-1.420231,0.017121,0.000,0.000000,0.0184
exp,0.3790,-1.420161,0.017710,0.000,0.000000,0.0190
exp,0.3917,-1.420015,0.018427,0.000,0.000000,0.0196
exp,0.4039,-1.419861,0.019582,0.000,0.000000,0.0202
exp,0.4084,-1.419783,0.019582,0.000,0.000000,0.0204
exp,0.4187,-1.419704,0.019582,0.000,0.000000,0.0209
exp,0.4285,-1.419704,0.019582,0.000,0.000000,0.0214
exp,0.4401,-1.419458,0.020934,0.000,0.000000,0.0220
exp,0.4525,-1.419287,0.021423,0.000,0.000000,0.0226
exp,0.4648,-1.419111,0.022001,0.000,0.000000,0.0232
exp,0.4685,-1.419020,0.022624,0.000,0.000000,0.0234
exp,0.4798,-1.419020,0.022624,0.000,0.000000,0.0240
exp,0.4911,-1.418930,0.022624,0.000,0.000000,0.0246
exp,0.5015,-1.418740,0.023988,0.000,0.000000,0.0251
exp,0.5144,-1.418642,0.024552,0.000,0.000000,0.0257
exp,0.5283,-1.418544,0.024552,0.000,0.000000,0.0264
exp,0.5305,-1.418544,0.024552,0.000,0.000000,0.0265
exp,0.5391,-1.418446,0.024552,0.000,0.000000,0.0270
exp,0.5509,-1.418343,0.025716,0.000,0.000000,0.0275
exp,0.5642,-1.418240,0.025716,0.000,0.000000,0.0282
exp,0.5749,-1.418132,0.026956,0.000,0.000000,0.0287
exp,0.5784,-1.418022,0.027543,0.000,0.000000,0.0289
exp,0.5877,-1.418022,0.027543,0.000,0.000000,0.0294
exp,0.6006,-1.418022,0.027543,0.000,0.000000,0.0300
exp,0.6145,-1.417907,0.028741,0.000,0.000000,0.0307
exp,0.6259,-1.417789,0.029383,0.000,0.000000,0.0313
exp,0.6281,-1.417789,0.029383,0.000,0.000000,0.0314
exp,0.6384,-1.417789,0.029383,0.000,0.000000,0.0319
exp,0.6505,-1.417669,0.030028,0.000,0.000000,0.0325
exp,0.6608,-1.417669,0.030028,0.000,0.000000,0.0330
exp,0.6742,-1.417546,0.030725,0.000,0.000000,0.0337
exp,0.6849,-1.417419,0.031917,0.000,0.000000,0.0342
exp,0.6885,-1.417419,0.031917,0.000,0.000000,0.0344
exp,0.6980,-1.417289,0.032524,0.000,0.000000,0.0349
exp,0.7111,-1.417156,0.033039,0.000,0.000000,0.0356
exp,0.7339,-1.416740,0.034901,0.000,0.000000,0.0367
exp,0.7382,-1.416597,0.035554,0.000,0.000000,0.0369
exp,0.7485,-1.416455,0.035554,0.000,0.000000,0.0374
exp,0.7587,-1.416161,0.036910,0.000,0.000000,0.0379
exp,0.7711,-1.415861,0.037422,0.000,0.000000,0.0386
exp,0.7841,-1.415710,0.037932,0.000,0.000000,0.0392
exp,0.7952,-1.415558,0.037932,0.000,0.000000,0.0398
exp,0.7992,-1.415404,0.038554,0.000,0.000000,0.0400
exp,0.8087,-1.415247,0.039205,0.000,0.000000,0.0404
exp,0.8198,-1.415088,0.039758,0.000,0.000000,0.0410
exp,0.8324,-1.414766,0.040432,0.000,0.000000,0.0416
exp,0.8452,-1.414602,0.040990,0.000,0.000000,0.0423
exp,0.8485,-1.414438,0.040990,0.000,0.000000,0.0424
exp,0.8590,-1.414272,0.041620,0.000,0.000000,0.0430
exp,0.8694,-1.414103,0.042259,0.000,0.000000,0.0435
exp,0.8817,-1.413933,0.042422,0.000,0.000000,0.0441
exp,0.8954,-1.413590,0.043466,0.000,0.000000,0.0448
exp,0.8985,-1.413413,0.044085,0.000,0.000000,0.0449
exp,0.9084,-1.413061,0.044085,0.000,0.000000,0.0454
exp,0.9178,-1.412702,0.044924,0.000,0.000000,0.0459
exp,0.9314,-1.412338,0.045418,0.000,0.000000,0.0466
exp,0.9429,-1.412155,0.045889,0.000,0.000000,0.0471
exp,0.9559,-1.411596,0.047145,0.000,0.000000,0.0478
exp,0.9583,-1.411408,0.047145,0.000,0.000000,0.0479
exp,0.9676,-1.411028,0.047792,0.000,0.000000,0.0484
exp,0.9803,-1.410643,0.048376,0.000,0.000001,0.0490
exp,0.9936,-1.410449,0.048376,0.000,0.000001,0.0497
exp,1.0049,-1.410256,0.048376,0.000,0.000001,0.0502
exp,1.0085,-1.409665,0.049677,0.000,0.000000,0.0504
exp,1.0195,-1.409466,0.049677,0.000,0.000000,0.0510
exp,1.0278,-1.409064,0.050243,0.000,0.000000,0.0514
exp,1.0410,-1.408659,0.050972,0.000,0.000000,0.0520
exp,1.0533,-1.408248,0.051388,0.000,0.000001,0.0527
exp,1.0644,-1.407626,0.052048,0.000,0.000001,0.0532
exp,1.0699,-1.407415,0.052664,0.000,0.000000,0.0535
exp,1.0781,-1.407205,0.052664,0.000,0.000000,0.0539
exp,1.0911,-1.406992,0.053219,0.000,0.000001,0.0546
exp,1.1025,-1.406563,0.053903,0.000,0.000000,0.0551
exp,1.1165,-1.406129,0.054552,0.000,0.000001,0.0558
exp,1.1265,-1.405909,0.055122,0.000,0.000001,0.0563
exp,1.1283,-1.405688,0.055122,0.000,0.000000,0.0564
exp,1.1395,-1.405468,0.055122,0.000,0.000000,0.0570
exp,1.1510,-1.405021,0.055822,0.000,0.000000,0.0576
exp,1.1639,-1.404565,0.056974,0.000,0.000000,0.0582
exp,1.1676,-1.404105,0.057551,0.000,0.000000,0.0584
exp,1.1778,-1.403872,0.058195,0.000,0.000001,0.0589
exp,1.1888,-1.403639,0.058379,0.000,0.000001,0.0594
exp,1.2022,-1.403170,0.058889,0.000,0.000001,0.0601
exp,1.2135,-1.402694,0.059439,0.000,0.000001,0.0607
exp,1.2237,-1.402454,0.060109,0.000,0.000001,0.0612
exp,1.2280,-1.401971,0.060672,0.000,0.000001,0.0614
exp,1.2390,-1.401728,0.060672,0.000,0.000001,0.0619
exp,1.2496,-1.401483,0.061185,0.000,0.000001,0.0625
exp,1.2611,-1.400992,0.061400,0.000,0.000001,0.0631
exp,1.2743,-1.400244,0.062477,0.000,0.000001,0.0637
exp,1.2779,-1.399740,0.063053,0.000,0.000001,0.0639
exp,1.2876,-1.399485,0.063714,0.000,0.000001,0.0644
exp,1.2982,-1.399230,0.063896,0.000,0.000001,0.0649
exp,1.3119,-1.398716,0.064378,0.000,0.000001,0.0656
exp,1.3228,-1.398457,0.064907,0.000,0.000001,0.0661
exp,1.3339,-1.397935,0.065591,0.000,0.000001,0.0667
exp,1.3385,-1.397670,0.066139,0.000,0.000001,0.0669
exp,1.3482,-1.397139,0.066692,0.000,0.000001,0.0674
exp,1.3591,-1.396872,0.066692,0.000,0.000001,0.0680
exp,1.3712,-1.396335,0.067409,0.000,0.000001,0.0686
exp,1.3831,-1.395791,0.067954,0.000,0.000001,0.0692
exp,1.3880,-1.395240,0.069154,0.000,0.000001,0.0694
exp,1.3982,-1.394964,0.069154,0.000,0.000001,0.0699
exp,1.4102,-1.394964,0.069154,0.000,0.000001,0.0705
exp,1.4201,-1.394964,0.069154,0.000,0.000001,0.0710
exp,1.4331,-1.394122,0.070511,0.000,0.000001,0.0717
exp,1.4444,-1.393554,0.071001,0.000,0.000001,0.0722
exp,1.4482,-1.393267,0.071654,0.000,0.000001,0.0724
exp,1.4596,-1.392981,0.071654,0.000,0.000001,0.0730
exp,1.4704,-1.392692,0.072219,0.000,0.000001,0.0735
exp,1.4833,-1.391821,0.072980,0.000,0.000001,0.0742
exp,1.4927,-1.391527,0.073519,0.000,0.000001,0.0746
exp,1.4979,-1.390936,0.074163,0.000,0.000001,0.0749
exp,1.5091,-1.390637,0.074634,0.000,0.000001,0.0755
exp,1.5188,-1.390637,0.074634,0.000,0.000001,0.0759
exp,1.5312,-1.390038,0.074893,0.000,0.000001,0.0766
exp,1.5417,-1.389431,0.075937,0.000,0.000001,0.0771
exp,1.5544,-1.388818,0.076559,0.000,0.000001,0.0777
exp,1.5586,-1.388510,0.077081,0.000,0.000001,0.0779
exp,1.5681,-1.388510,0.077081,0.000,0.000001,0.0784
exp,1.5787,-1.387891,0.077718,0.000,0.000001,0.0789
exp,1.5908,-1.387265,0.078402,0.000,0.000001,0.0795
exp,1.6054,-1.386634,0.078933,0.000,0.000001,0.0803
exp,1.6281,-1.386316,0.079538,0.000,0.000001,0.0814
exp,1.6402,-1.385680,0.079538,0.000,0.000001,0.0820
exp,1.6524,-1.384386,0.081404,0.000,0.000001,0.0826
exp,1.6647,-1.384058,0.082007,0.000,0.000001,0.0832
exp,1.6699,-1.384058,0.082007,0.000,0.000001,0.0835
exp,1.6777,-1.383397,0.083234,0.000,0.000001,0.0839
exp,1.6919,-1.383064,0.083234,0.000,0.000001,0.0846
exp,1.7016,-1.382393,0.083884,0.000,0.000001,0.0851
exp,1.7139,-1.381719,0.084592,0.000,0.000001,0.0857
exp,1.7268,-1.381379,0.085081,0.000,0.000001,0.0863
