phase,t,pos,vel,effort_js,wrench_fx,cmd_v
exp,0.0122,-1.421385,-0.000001,0.000,-0.000018,0.0037
exp,0.0277,-1.421385,-0.000001,0.000,-0.000018,0.0083
exp,0.0368,-1.421370,0.003645,0.000,-0.000017,0.0110
exp,0.0405,-1.421322,0.008286,0.000,0.072909,0.0121
exp,0.0506,-1.421322,0.008286,0.000,0.165738,0.0152
exp,0.0636,-1.421278,0.011010,0.000,0.165738,0.0191
exp,0.0734,-1.421230,0.012113,0.000,-0.230865,0.0220
exp,0.0854,-1.421169,0.015143,0.000,0.242268,0.0256
exp,0.0978,-1.421005,0.021956,0.000,0.380733,0.0293
exp,0.1103,-1.420918,0.021956,0.000,0.439125,0.0331
exp,0.1260,-1.420698,0.029266,0.000,0.585333,0.0378
exp,0.1364,-1.420581,0.029266,0.000,0.660239,0.0409
exp,0.1511,-1.420317,0.033011,0.000,0.660239,0.0453
exp,0.1613,-1.420185,0.033011,0.000,0.660240,0.0484
exp,0.1734,-1.419871,0.040826,0.000,0.816528,0.0520
exp,0.1837,-1.419334,0.048260,0.000,-0.893524,0.0551
exp,0.1965,-1.418919,0.051883,0.000,1.037675,0.0589
exp,0.2081,-1.418479,0.054983,0.000,1.037676,0.0624
exp,0.2108,-1.418244,0.058798,0.000,1.099673,0.0632
exp,0.2209,-1.418009,0.058798,0.000,1.175966,0.0663
exp,0.2330,-1.417507,0.063085,0.000,1.245312,0.0699
exp,0.2446,-1.416978,0.066095,0.000,1.261708,0.0734
exp,0.2571,-1.416421,0.069730,0.000,1.394619,0.0771
exp,0.2605,-1.416128,0.073195,0.000,1.394619,0.0782
exp,0.2709,-1.415835,0.073195,0.000,1.463910,0.0813
exp,0.2813,-1.415215,0.077965,0.000,1.463910,0.0844
exp,0.2935,-1.414891,0.081051,0.000,1.559312,0.0880
exp,0.3060,-1.414218,0.084164,0.000,1.683285,0.0918
exp,0.3183,-1.413515,0.087816,0.000,1.683285,0.0955
exp,0.3214,-1.413515,0.087816,0.000,1.756337,0.0964
exp,0.3310,-1.412783,0.091562,0.000,1.756337,0.0993
exp,0.3424,-1.412002,0.099054,0.000,1.923754,0.1027
exp,0.3551,-1.411196,0.102454,0.000,1.981093,0.1065
exp,0.3686,-1.410376,0.102454,0.000,2.049103,0.1106
exp,0.3705,-1.410376,0.102454,0.000,2.049103,0.1111
exp,0.3825,-1.409510,0.110285,0.000,2.125404,0.1148
exp,0.3922,-1.409067,0.110852,0.000,2.205711,0.1177
