phase,t,pos,vel,effort_js,wrench_fx,cmd_v
exp,0.0252,-1.422083,-0.000001,0.000,-0.000000,0.0076
exp,0.0405,-1.422083,-0.000001,0.000,0.000000,0.0122
exp,0.0509,-1.422083,-0.000001,0.000,0.000000,0.0153
exp,0.0618,-1.422083,-0.000001,0.000,0.000000,0.0185
exp,0.0742,-1.422083,-0.000001,0.000,0.000000,0.0223
exp,0.0902,-1.422053,0.007561,0.000,-0.000000,0.0270
exp,0.1100,-1.422023,0.007561,0.000,0.000000,0.0330
exp,0.1233,-1.421962,0.007561,0.000,0.000000,0.0370
exp,0.1353,-1.421827,0.018542,0.000,0.000000,0.0406
exp,0.1464,-1.421753,0.018542,0.000,0.000000,0.0439
exp,0.1589,-1.421589,0.022269,0.000,0.000000,0.0477
exp,0.1615,-1.421500,0.022269,0.000,0.000000,0.0485
exp,0.1719,-1.421392,0.027045,0.000,0.000000,0.0516
exp,0.1848,-1.421004,0.036996,0.000,0.000000,0.0554
exp,0.1954,-1.419945,0.051556,0.000,0.000000,0.0586
exp,0.2006,-1.419311,0.055445,0.000,0.000000,0.0602
exp,0.2103,-1.419311,0.055445,0.000,0.000000,0.0631
exp,0.2216,-1.419089,0.055445,0.000,0.000001,0.0665
exp,0.2347,-1.418620,0.058613,0.000,0.000001,0.0704
exp,0.2450,-1.418088,0.066487,0.000,0.000001,0.0735
exp,0.2590,-1.417823,0.066487,0.000,0.000000,0.0777
exp,0.2706,-1.417541,0.070421,0.000,0.000001,0.0812
exp,0.2817,-1.417247,0.073497,0.000,0.000001,0.0845
exp,0.2934,-1.415993,0.081190,0.000,0.000001,0.0880
exp,0.3073,-1.415655,0.084516,0.000,0.000001,0.0922
exp,0.3191,-1.415316,0.084516,0.000,0.000001,0.0957
exp,0.3299,-1.414964,0.088031,0.000,0.000001,0.0990
exp,0.3441,-1.414596,0.092177,0.000,0.000001,0.1032
exp,0.3558,-1.414227,0.092177,0.000,0.000001,0.1068
exp,0.3684,-1.413844,0.095729,0.000,0.000001,0.1105
exp,0.3920,-1.413461,0.095729,0.000,0.000001,0.1176
exp,0.4041,-1.412225,0.106752,0.000,0.000001,0.1212
exp,0.4174,-1.410886,0.117590,0.000,0.000001,0.1252
exp,0.4285,-1.410415,0.117590,0.000,0.000001,0.1285
exp,0.4409,-1.410415,0.117590,0.000,0.000001,0.1323
exp,0.4670,-1.409930,0.121222,0.000,0.000001,0.1401
exp,0.4789,-1.409430,0.125210,0.000,0.000001,0.1437
exp,0.4896,-1.408901,0.132273,0.000,0.000001,0.1469
exp,0.4932,-1.408340,0.140097,0.000,0.000001,0.1480
exp,0.5016,-1.407780,0.140097,0.000,0.000001,0.1505
exp,0.5148,-1.406618,0.146866,0.000,0.000001,0.1545
exp,0.5256,-1.406016,0.150470,0.000,0.000001,0.1577
exp,0.5390,-1.404796,0.154451,0.000,0.000001,0.1617
exp,0.5433,-1.404165,0.157677,0.000,0.000001,0.1630
exp,0.5530,-1.403535,0.157677,0.000,0.000001,0.1659
exp,0.5645,-1.402904,0.157677,0.000,0.000001,0.1694
exp,0.5751,-1.402257,0.161691,0.000,0.000002,0.1725
exp,0.5877,-1.401610,0.161691,0.000,0.000002,0.1763
exp,0.5914,-1.400933,0.169352,0.000,0.000002,0.1774
exp,0.6111,-1.400933,0.169352,0.000,0.000001,0.1833
exp,0.6261,-1.400243,0.172532,0.000,0.000002,0.1878
exp,0.6375,-1.399538,0.176303,0.000,0.000001,0.1913
exp,0.6404,-1.399538,0.176303,0.000,0.000002,0.1921
exp,0.6531,-1.399538,0.176303,0.000,0.000002,0.1959
exp,0.6615,-1.398804,0.183338,0.000,0.000002,0.1985
exp,0.6727,-1.398036,0.192127,0.000,0.000002,0.2018
exp,0.6864,-1.395680,0.198459,0.000,0.000002,0.2059
exp,0.6970,-1.394872,0.201805,0.000,0.000002,0.2091
exp,0.7009,-1.394065,0.201805,0.000,0.000002,0.2103
exp,0.7134,-1.393242,0.205906,0.000,0.000002,0.2140
exp,0.7216,-1.392405,0.209091,0.000,0.000002,0.2165
exp,0.7341,-1.391569,0.209091,0.000,0.000002,0.2202
exp,0.7485,-1.390713,0.214028,0.000,0.000002,0.2246
exp,0.7603,-1.389847,0.216474,0.000,0.000002,0.2281
exp,0.7714,-1.388966,0.220221,0.000,0.000002,0.2314
exp,0.7836,-1.388068,0.224560,0.000,0.000002,0.2351
exp,0.7962,-1.386257,0.228096,0.000,0.000002,0.2389
exp,0.8080,-1.384391,0.235093,0.000,0.000002,0.2424
exp,0.8113,-1.383436,0.238858,0.000,0.000002,0.2434
exp,0.8199,-1.382480,0.238858,0.000,0.000002,0.2460
exp,0.8324,-1.380555,0.242397,0.000,0.000002,0.2497
exp,0.8454,-1.378598,0.245962,0.000,0.010321,0.2536
exp,0.8576,-1.377599,0.249726,0.000,0.000002,0.2573
