phase,t,pos,vel,effort_js,wrench_fx,cmd_v
exp,0.0039,-1.421385,-0.000001,0.000,-0.000017,0.0008
exp,0.0140,-1.421382,0.000780,0.000,-0.000017,0.0028
exp,0.0242,-1.421379,0.000780,0.000,0.015614,0.0048
exp,0.0363,-1.421368,0.002785,0.000,0.055711,0.0073
exp,0.0483,-1.421368,0.002785,0.000,0.055710,0.0097
exp,0.0616,-1.421328,0.007241,0.000,0.144824,0.0123
exp,0.0645,-1.421299,0.007241,0.000,0.144824,0.0129
exp,0.0741,-1.421260,0.009643,0.000,0.144824,0.0148
exp,0.0856,-1.421157,0.012872,0.000,0.257457,0.0171
exp,0.0972,-1.420971,0.017076,0.000,0.295691,0.0194
exp,0.1104,-1.420825,0.019397,0.000,0.341525,0.0221
exp,0.1220,-1.420825,0.019397,0.000,0.341526,0.0244
exp,0.1252,-1.420747,0.019397,0.000,0.387944,0.0250
exp,0.1343,-1.420581,0.022017,0.000,0.387944,0.0269
exp,0.1468,-1.420384,0.024970,0.000,0.486874,0.0294
exp,0.1590,-1.420170,0.026783,0.000,0.535664,0.0318
exp,0.1708,-1.419936,0.029289,0.000,0.585787,0.0342
exp,0.1740,-1.419682,0.031721,0.000,0.585787,0.0348
exp,0.1844,-1.419555,0.031721,0.000,0.634439,0.0369
exp,0.1956,-1.419416,0.034715,0.000,0.634439,0.0391
exp,0.2085,-1.419130,0.036782,0.000,0.694317,0.0417
exp,0.2200,-1.418662,0.039020,0.000,0.780406,0.0440
exp,0.2240,-1.418329,0.041592,0.000,0.831845,0.0448
exp,0.2339,-1.417978,0.043895,0.000,0.877902,0.0468
exp,0.2444,-1.417799,0.044693,0.000,0.893870,0.0489
exp,0.2569,-1.417426,0.046664,0.000,0.933292,0.0514
exp,0.2705,-1.417036,0.048749,0.000,-0.964371,0.0541
exp,0.2812,-1.416626,0.051251,0.000,1.025038,0.0562
exp,0.2845,-1.416410,0.053961,0.000,1.025038,0.0569
exp,0.2946,-1.415970,0.056096,0.000,1.079222,0.0589
exp,0.3056,-1.415508,0.058778,0.000,1.135214,0.0611
exp,0.3178,-1.415029,0.060960,0.000,1.175564,0.0636
exp,0.3306,-1.414785,0.060960,0.000,1.219209,0.0661
exp,0.3350,-1.414541,0.060960,0.000,1.267915,0.0670
exp,0.3446,-1.414288,0.063395,0.000,1.267915,0.0689
